classname ,loc, rfc , wmc , cbo , dit , lcom , fanin , fanout , noc , numberOfAttributes , numberOfAttributesInherited , numberOfMethods , numberOfMethodsInherited , numberOfPrivateAttributes , numberOfPrivateMethods , numberOfPublicAttributes , numberOfPublicMethods , nonTrivialBugs , majorBugs , criticalBugs , highPriorityBugs , bug ,buggy
org::eclipse::mylyn::internal::tasks::core::TaskExternalizationException ,3,1,1,0,1,0,0,0,0,1,0,1,25,1,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::bugzilla::core::history::Messages ,3,2,1,0,1,0,0,0,0,3,0,1,0,1,0,2,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::tasks::ui::editor::TWikiMarkupTaskEditorExtension ,3,3,1,1,3,0,0,1,0,0,1,1,21,0,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::workingsets::WorkingSetLabelComparator ,3,5,1,1,1,1,0,1,0,0,0,2,9,0,0,0,2,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::preferences::Messages ,3,2,1,0,1,0,0,0,0,31,0,1,0,1,0,30,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::textile::core::validation::TextileReferenceValidationRule ,3,3,1,2,3,1,1,1,0,0,0,2,14,0,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::context::ui::wizards::Messages ,3,2,1,0,1,0,0,0,0,14,0,1,0,1,0,13,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::properties::Messages ,3,2,1,0,1,0,0,0,0,2,0,1,0,1,0,1,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::compatibility::Messages ,3,2,1,0,1,0,0,0,0,4,0,1,0,1,0,3,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::jira::core::JiraField ,3,1,1,0,2,0,0,0,0,0,0,1,18,0,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::wizards::NewQueryWizard ,3,2,1,2,2,0,1,1,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::jira::core::model::filter::NobodyFilter ,3,3,1,2,2,1,2,0,0,1,0,2,19,1,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::context::ui::actions::ContextActiveActionFilter ,3,3,1,2,1,0,0,2,0,0,0,1,9,0,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::java::ui::search::Messages ,3,2,1,0,1,0,0,0,0,3,0,1,0,1,0,2,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::trac::core::model::TracSeverity ,3,1,1,3,2,0,3,0,0,1,0,1,23,1,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::team::ccvs::Messages ,3,2,1,0,1,0,0,0,0,4,0,1,0,1,0,3,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::context::ui::actions::InterestIncrementAction ,3,1,1,0,2,0,0,0,0,0,4,1,17,0,0,0,0,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::notifications::Messages ,3,2,1,0,1,0,0,0,0,8,0,1,0,1,0,7,1,0,0,0,0,0,0
org::eclipse::mylyn::wikitext::ui::viewer::MarkupViewerConfiguration ,3,1,1,1,3,0,1,0,1,0,1,1,15,0,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::jira::core::service::JiraAuthenticationException ,3,1,2,1,2,0,1,0,0,1,0,1,26,1,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::team::ui::actions::Messages ,3,2,1,0,1,0,0,0,0,12,0,1,0,1,0,11,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::trac::core::client::Messages ,3,2,1,0,1,0,0,0,0,2,0,1,0,1,0,1,1,0,0,0,0,0,0
org::eclipse::mylyn::wikitext::core::parser::markup::token::LineBreakReplacementTokenProcessor ,3,4,1,3,3,1,1,2,0,0,7,2,39,0,0,0,2,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::ui::util::css::editor::CssWhitespaceDetector ,3,2,4,2,1,1,2,0,0,0,0,2,9,0,0,0,2,0,0,0,0,0,0
org::eclipse::mylyn::internal::provisional::commons::core::CommonMessages ,3,2,1,0,1,0,0,0,0,8,0,1,0,1,0,7,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::context::ui::actions::InterestDecrementAction ,3,1,1,0,2,0,0,0,0,0,4,1,17,0,0,0,0,2,0,0,0,4,1
org::eclipse::mylyn::internal::jira::core::service::Messages ,3,2,1,0,1,0,0,0,0,3,0,1,9,1,0,2,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::trac::core::client::TracRemoteException ,3,1,1,0,2,0,0,0,1,1,0,1,26,1,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::context::ui::actions::Messages ,3,2,1,0,1,0,0,0,0,24,0,1,0,1,0,23,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::jira::core::InvalidJiraQueryException ,3,1,1,1,1,0,1,0,0,1,0,1,26,1,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::commands::Messages ,3,2,1,0,1,0,0,0,0,13,0,1,0,1,0,12,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::provisional::tasks::ui::wizards::Messages ,3,2,1,0,1,0,0,0,0,8,0,1,0,1,0,7,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::trac::ui::editor::Messages ,3,2,1,0,1,0,0,0,0,4,0,1,0,1,0,3,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::context::ui::preferences::Messages ,3,2,1,0,1,0,0,0,0,12,0,1,0,1,0,11,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::bugzilla::ui::editor::Messages ,3,2,1,0,1,0,0,0,0,13,0,1,0,1,0,12,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::wizards::Messages ,3,2,1,0,1,0,0,0,0,120,0,1,0,1,0,119,1,0,0,0,0,1,1
org::eclipse::mylyn::internal::jira::core::service::JiraInsufficientPermissionException ,3,1,2,0,2,0,0,0,0,1,0,1,26,1,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::monitor::tests::MockSelectionMonitor ,3,2,1,0,2,0,0,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::core::Messages ,3,2,1,0,1,0,0,0,0,19,0,1,0,1,0,18,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::context::ui::commands::RetrieveContextAttachmentHandler ,3,4,1,2,2,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
org::eclipse::mylyn::internal::jira::core::service::JiraException ,3,1,1,6,1,0,6,0,5,1,0,1,25,1,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::xplanner::core::service::exceptions::InsufficientPermissionException ,3,1,1,0,1,0,0,0,0,1,0,1,26,1,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::core::AbstractTaskCategory ,3,1,1,0,3,0,0,0,3,0,0,1,50,0,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::zest::layouts::constraints::EntityPriorityConstraint ,3,1,1,0,1,0,0,0,0,1,0,1,10,0,0,1,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::pde::ui::junit::Messages ,3,2,1,0,1,0,0,0,0,3,0,1,0,1,0,2,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::java::tasks::Messages ,3,2,1,0,1,0,0,0,0,7,0,1,0,1,0,6,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::bugzilla::ui::tasklist::Messages ,3,2,1,0,1,0,0,0,0,29,0,1,0,1,0,28,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::trac::core::model::TracTicketType ,3,1,1,3,2,0,3,0,0,1,0,1,23,1,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::context::ui::commands::Messages ,3,2,1,0,1,0,0,0,0,10,0,1,0,1,0,9,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::trac::ui::wizard::Messages ,3,2,1,0,1,0,0,0,0,43,0,1,0,1,0,42,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::search::Messages ,3,2,1,0,1,0,0,0,0,25,0,1,0,1,0,24,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::tracwiki::core::validation::TracWikiReferenceValidationRule ,3,2,1,1,3,0,0,1,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0
org::eclipse::mylyn::internal::bugzilla::ui::wizard::Messages ,3,2,1,0,1,0,0,0,0,13,0,1,0,1,0,12,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::trac::core::model::TracTicketStatus ,3,1,1,3,2,0,3,0,0,1,0,1,23,1,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::xplanner::core::service::exceptions::ServiceUnavailableException ,3,1,1,2,1,0,2,0,0,1,0,1,26,1,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::ide::ui::actions::FocusProblemsListAction ,3,1,1,0,3,0,0,0,0,0,8,1,29,0,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::jira::core::service::JiraRemoteException ,3,1,1,0,2,0,0,0,1,1,0,1,26,1,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::mediawiki::core::phrase::SimplePhraseModifier ,3,1,1,1,3,0,1,0,0,0,1,1,28,0,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::tasks::ui::editor::MediaWikiMarkupTaskEditorExtension ,3,3,1,1,3,0,0,1,0,0,1,1,21,0,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::wizards::NewTaskWizard ,3,1,1,0,2,0,0,0,0,0,0,1,5,0,0,0,1,1,0,0,0,2,1
org::eclipse::mylyn::internal::bugzilla::ui::action::Messages ,3,2,1,0,1,0,0,0,0,7,0,1,0,1,0,6,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::confluence::validation::ConfluenceReferenceValidationRule ,3,2,1,1,3,0,0,1,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0
org::eclipse::mylyn::zest::layouts::exampleStructures::SimpleFilter ,3,1,1,0,1,0,0,0,0,0,0,1,10,0,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::trac::core::model::TracTicketResolution ,3,1,1,3,2,0,3,0,0,1,0,1,23,1,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::actions::Messages ,3,2,1,0,1,0,0,0,0,116,0,1,0,1,0,115,1,1,0,0,0,2,1
org::eclipse::mylyn::internal::wikitext::tasks::ui::editor::ConfluenceMarkupTaskEditorExtension ,3,3,1,1,3,0,0,1,0,0,1,1,21,0,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::java::ui::JavaDeclarationsFilter ,3,2,2,1,1,1,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::workingsets::Messages ,3,2,1,0,1,0,0,0,0,11,0,1,0,1,0,10,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::Messages ,3,2,1,0,1,0,0,0,0,62,0,1,0,1,0,61,1,2,0,0,0,4,1
org::eclipse::mylyn::internal::java::ui::editor::Messages ,3,2,1,0,1,0,0,0,0,2,0,1,0,1,0,1,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::jira::core::service::JiraServiceUnavailableException ,3,1,1,1,2,0,1,0,0,1,0,1,26,1,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::views::AbstractTaskListContentProvider ,3,1,1,0,1,0,0,0,1,1,0,1,9,0,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::editors::HighlightingHyperlinkTextPresentationManager ,3,3,1,1,2,1,1,0,0,0,0,2,18,0,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::bugs::wizards::Messages ,3,2,1,0,1,0,0,0,0,11,0,1,0,1,0,10,1,0,0,0,0,1,1
org::eclipse::mylyn::tasks::core::TaskRepositoryLocationFactory ,3,3,1,8,1,1,7,1,1,0,0,2,9,0,0,0,2,0,0,0,0,0,0
org::eclipse::mylyn::internal::trac::core::client::TracPermissionDeniedException ,3,1,1,0,2,0,0,0,0,1,0,1,26,1,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::jira::ui::Messages ,3,2,1,0,1,0,0,0,0,10,0,1,0,1,0,9,1,0,0,0,0,0,0
org::eclipse::mylyn::tasks::ui::TaskRepositoryLocationUiFactory ,3,3,1,4,2,1,3,1,0,0,0,2,11,0,0,0,2,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::tasks::ui::editor::TextileMarkupTaskEditorExtension ,3,3,1,1,3,0,0,1,0,0,1,1,21,0,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::monitor::core::collection::Messages ,3,2,1,0,1,0,0,0,0,22,0,1,0,1,0,21,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::bugs::Messages ,3,2,1,0,1,0,0,0,0,14,0,1,0,1,0,13,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::trac::core::util::Messages ,3,2,1,0,1,0,0,0,0,2,0,1,9,1,0,1,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::trac::core::client::TracException ,3,1,1,0,1,0,0,0,6,1,0,1,25,1,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::context::ui::editors::Messages ,3,2,1,0,1,0,0,0,0,15,0,1,0,1,0,14,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::trac::core::model::TracPriority ,3,1,1,4,2,0,4,0,0,1,0,1,23,1,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::ide::ui::actions::FocusTaskMarkersViewAction ,3,1,1,0,3,0,0,0,0,0,8,1,29,0,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::bugzilla::core::Messages ,3,2,1,0,1,0,0,0,0,115,0,1,0,1,0,114,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::bugs::actions::Messages ,3,2,1,0,1,0,0,0,0,11,0,1,0,1,0,10,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::twiki::core::phrase::SimplePhraseModifier ,3,1,1,0,3,0,0,0,0,0,1,1,28,0,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::team::ui::preferences::Messages ,3,2,1,0,1,0,0,0,0,4,0,1,0,1,0,3,1,0,0,0,0,0,0
org::eclipse::mylyn::tasks::core::sync::TaskJob ,3,2,1,4,1,1,4,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0
org::eclipse::mylyn::internal::context::ui::DoiOrderSorter ,3,3,1,3,1,1,3,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0
org::eclipse::mylyn::internal::java::ui::editor::FocusedJavaSourceViewerConfiguration ,3,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::tasks::ui::WikiTextContextUiStartup ,3,3,1,1,1,0,0,1,0,0,0,1,10,0,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::java::ui::junit::Messages ,3,2,1,0,1,0,0,0,0,4,0,1,0,1,0,3,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::trac::core::client::InvalidWikiPageException ,3,1,1,0,3,0,0,0,0,1,0,1,27,1,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::ide::ui::actions::FocusAllMarkersViewAction ,3,1,1,0,3,0,0,0,0,0,8,1,29,0,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::dialogs::Messages ,3,2,1,0,1,0,0,0,0,52,0,1,0,1,0,51,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::resources::ui::preferences::Messages ,3,2,1,0,1,0,0,0,0,8,0,1,0,1,0,7,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::ui::util::css::AnySelector ,3,2,1,1,2,1,1,0,0,0,0,2,10,0,0,0,2,0,0,0,0,0,0
org::eclipse::mylyn::commons::net::UnsupportedRequestException ,3,1,1,0,1,0,0,0,0,1,0,1,25,1,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::monitor::ui::Messages ,3,2,1,0,1,0,0,0,0,2,0,1,0,1,0,1,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::mediawiki::core::validation::MediaWikiReferenceValidationRule ,3,2,1,1,3,0,0,1,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::editors::Messages ,3,2,1,0,1,0,0,0,0,128,0,1,0,1,0,127,1,1,0,0,0,2,1
org::eclipse::mylyn::internal::jira::core::Messages ,3,2,1,0,1,0,0,0,0,51,0,1,0,1,0,50,1,1,0,0,0,3,1
org::eclipse::mylyn::internal::trac::core::client::TracLoginException ,3,1,1,0,2,0,0,0,0,1,0,1,26,1,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::trac::ui::Messages ,3,2,1,0,1,0,0,0,0,6,0,1,0,1,0,5,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::twiki::core::validation::TWikiReferenceValidationRule ,3,2,1,1,3,0,0,1,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0
org::eclipse::mylyn::internal::java::ui::actions::Messages ,3,2,1,0,1,0,0,0,0,2,0,1,0,1,0,1,1,0,0,0,0,0,0
org::eclipse::mylyn::monitor::usage::AbstractStudyQuestionnairePage ,3,2,1,1,1,1,1,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0
org::eclipse::mylyn::internal::xplanner::core::service::exceptions::AuthenticationException ,3,1,1,1,1,0,1,0,0,1,0,1,26,1,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::resources::ui::ResourcesUi ,3,3,1,4,1,0,2,2,0,0,0,1,9,0,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::util::Messages ,3,2,1,0,1,0,0,0,0,29,0,1,0,1,0,28,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::team::ui::templates::Messages ,3,2,1,0,1,0,0,0,0,4,0,1,0,1,0,3,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::resources::ui::Messages ,3,2,1,0,1,0,0,0,0,2,0,1,0,1,0,1,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::bugzilla::ui::action::BugzillaObsoleteAttachmentAction ,3,1,1,0,2,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::jira::core::model::filter::CurrentUserFilter ,3,3,1,2,2,1,2,0,0,1,0,2,19,1,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::tracwiki::core::phrase::SimplePhraseModifier ,3,1,1,1,3,0,1,0,1,0,1,1,28,0,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::trac::core::Messages ,3,2,1,0,1,0,0,0,0,31,0,1,0,1,0,30,1,1,0,0,0,2,1
org::eclipse::mylyn::internal::tasks::core::externalization::Messages ,3,2,1,0,1,0,0,0,0,5,0,1,0,1,0,4,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::provisional::commons::ui::AbstractNotification ,3,8,1,6,1,28,6,0,1,0,0,8,19,0,0,0,8,0,0,0,0,0,0
org::eclipse::mylyn::internal::commons::ui::Messages ,3,2,1,0,1,0,0,0,0,24,0,1,0,1,0,23,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::bugzilla::core::UnrecognizedReponseException ,3,1,1,0,1,0,0,0,0,1,0,1,26,1,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::ide::ant::Messages ,3,2,1,0,1,0,0,0,0,2,0,1,0,1,0,1,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::ide::ui::actions::FocusBookmarkMarkersViewAction ,3,1,1,0,3,0,0,0,0,0,8,1,29,0,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::team::ui::Messages ,3,2,1,0,1,0,0,0,0,3,0,1,0,1,0,2,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::team::ui::properties::Messages ,3,2,1,0,1,0,0,0,0,4,0,1,0,1,0,3,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::context::ui::views::Messages ,3,2,1,0,1,0,0,0,0,2,0,1,0,1,0,1,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::context::ui::Messages ,3,2,1,0,1,0,0,0,0,13,0,1,0,1,0,12,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::trac::core::client::TracNoSuchMethodException ,3,1,1,1,2,0,1,0,0,1,0,1,26,1,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::jira::core::service::soap::Messages ,3,2,1,0,1,0,0,0,0,9,0,1,0,1,0,8,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::views::Messages ,3,2,1,0,1,0,0,0,0,39,0,1,0,1,0,38,1,1,0,0,0,2,1
org::eclipse::mylyn::internal::jira::ui::wizards::Messages ,3,2,1,0,1,0,0,0,0,86,0,1,0,1,0,85,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::bugzilla::ui::search::Messages ,3,2,1,0,1,0,0,0,0,44,0,1,0,1,0,43,1,0,0,0,0,0,0
org::eclipse::mylyn::zest::layouts::constraints::BasicEdgeConstraints ,4,1,1,0,1,0,0,0,0,2,0,1,10,0,0,2,1,0,0,0,0,0,0
org::eclipse::mylyn::zest::layouts::constraints::LabelLayoutConstraint ,4,1,1,0,1,0,0,0,0,2,0,1,10,0,0,2,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::xplanner::core::service::soap::SoapXPlannerServiceFactory ,4,2,1,1,1,0,0,1,0,0,0,1,10,0,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::tasks::core::TaskActivityAdapter ,4,3,2,2,1,3,2,0,0,0,0,3,11,0,0,0,3,0,0,0,0,0,0
org::eclipse::mylyn::internal::context::ui::commands::AbstractTaskAttachmentCommandHandler ,4,2,2,0,1,1,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::monitor::ui::KeybindingCommandMonitor ,4,5,1,3,2,1,1,2,0,1,0,2,16,0,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::ui::util::css::editor::CssPartitioner ,4,2,1,2,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::bugzilla::ui::action::BugzillaNotObsoleteAttachmentAction ,4,1,1,0,2,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::team::ui::templates::TemplateHandlerContentProposalProvider ,4,4,1,3,1,1,2,1,0,0,0,2,9,0,0,0,2,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::commands::OpenRepositoryTaskHandler ,4,3,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::monitor::ui::ActionExecutionMonitor ,4,5,1,2,1,1,1,1,0,0,0,2,10,0,0,0,2,0,0,0,0,0,0
org::eclipse::mylyn::internal::bugzilla::ui::wizard::WizardAttributesPage ,5,2,1,0,2,0,0,0,0,1,17,1,12,1,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::commands::OpenSelectedTaskHandler ,5,2,2,1,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::commands::OpenTaskListElementPropertiesHandler ,5,2,3,1,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
org::eclipse::mylyn::internal::provisional::tasks::bugs::AbstractTaskContributor ,5,3,2,1,1,3,1,0,1,0,0,3,9,0,0,0,3,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::ui::editor::preferences::PreferenceInitializer ,5,5,1,2,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::team::ui::AbstractCommitWorkflowProvider ,5,2,2,0,1,1,0,0,1,0,0,2,9,0,0,0,2,0,0,0,0,0,0
org::eclipse::mylyn::tasks::ui::editors::TaskFormPage ,5,2,2,1,1,1,1,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::team::ccvs::CvsActiveChangeSetProvider ,6,5,2,1,2,1,0,1,0,0,0,2,11,0,0,0,2,0,0,0,0,0,0
org::eclipse::mylyn::internal::xplanner::ui::wizard::XPlannerTaskMapping ,6,2,2,1,2,1,1,0,0,1,0,2,54,1,0,0,2,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::ui::util::css::editor::CssScanner ,6,8,1,3,1,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::tasks::core::sync::SubmitJobEvent ,6,2,2,2,1,1,2,0,0,1,0,2,9,1,0,0,2,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::ui::editor::syntax::MarkupDamagerRepairer ,6,2,2,1,1,1,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0
