classname ,loc, rfc , wmc , cbo , dit , lcom , fanin , fanout , noc , numberOfAttributes , numberOfAttributesInherited , numberOfMethods , numberOfMethodsInherited , numberOfPrivateAttributes , numberOfPrivateMethods , numberOfPublicAttributes , numberOfPublicMethods , nonTrivialBugs , majorBugs , criticalBugs , highPriorityBugs , bug ,buggy
legacy::lazystart::a::Activator ,6,8,2,2,1,1,0,2,0,0,0,2,9,0,0,0,2,0,0,0,0,0,0
osgi::lazystart::a::Activator ,6,8,2,2,1,1,0,2,0,0,0,2,9,0,0,0,2,0,0,0,0,0,0
fragment::test::attach::host::a::Activator ,6,8,2,2,1,1,0,2,0,0,0,2,9,0,0,0,2,0,0,0,0,0,0
exporter::importer::Activator ,7,3,2,1,1,1,0,1,0,0,0,2,9,0,0,0,2,0,0,0,0,0,0
org::eclipse::osgi::internal::baseadaptor::BaseHookConfigurator ,7,7,1,4,1,0,0,4,0,0,0,1,8,0,0,0,1,0,0,0,0,0,0
org::eclipse::osgi::internal::module::BundleConstraint ,8,3,3,3,2,1,2,1,0,0,2,2,27,0,0,0,0,0,0,0,0,0,0
nativetest::d::Activator ,8,8,2,4,1,1,0,4,0,0,0,2,9,0,0,0,2,0,0,0,0,0,0
nativetest::c::Activator ,8,8,2,4,1,1,0,4,0,0,0,2,9,0,0,0,2,0,0,0,0,0,0
nativetest::b2::Activator ,9,8,2,4,1,1,0,4,0,0,0,2,9,0,0,0,2,0,0,0,0,0,0
nativetest::b1::Activator ,9,8,2,4,1,1,0,4,0,0,0,2,9,0,0,0,2,0,0,0,0,0,0
nativetest::a2::Activator ,9,8,2,4,1,1,0,4,0,0,0,2,9,0,0,0,2,0,0,0,0,0,0
nativetest::a1::Activator ,9,8,2,4,1,1,0,4,0,0,0,2,9,0,0,0,2,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::core::ReferenceInputStream ,9,4,3,4,1,3,3,1,0,1,0,3,21,0,0,0,3,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::core::BundleSource ,10,3,3,0,1,3,0,0,0,1,2,3,13,1,0,0,2,0,0,0,0,0,0
org::eclipse::osgi::internal::baseadaptor::InvalidVersion ,10,3,3,2,2,3,2,0,0,1,1,3,17,1,0,0,3,0,0,0,0,0,0
org::eclipse::osgi::internal::signedcontent::LegacyVerifierFactory ,10,6,2,4,1,1,1,3,0,1,0,2,8,1,0,0,2,0,0,0,0,1,1
org::eclipse::osgi::signedcontent::InvalidContentException ,10,4,3,2,1,3,2,0,0,2,0,3,19,2,0,0,3,0,0,0,0,0,0
org::osgi::framework::ServiceEvent ,11,3,3,4,1,3,4,0,0,6,0,3,15,2,0,0,3,0,0,0,0,1,1
circularity::test::a::Activator ,11,11,2,4,1,1,0,4,0,0,0,2,9,0,0,0,2,0,0,0,0,0,0
org::osgi::framework::BundleEvent ,11,3,3,27,1,3,27,0,0,13,0,3,15,2,0,0,3,0,0,0,0,1,1
org::eclipse::osgi::framework::internal::protocol::MultiplexingContentHandler ,11,5,3,3,1,1,1,3,0,2,0,2,8,2,0,0,2,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::protocol::bundleentry::Handler ,11,8,3,5,2,1,1,5,0,0,3,2,30,0,0,0,1,0,0,0,0,0,0
org::eclipse::core::runtime::internal::adaptor::URLConverterImpl ,12,7,4,3,1,3,1,2,0,0,0,3,9,0,0,0,3,0,0,0,0,1,1
org::eclipse::osgi::framework::internal::core::ParentPolicy ,12,3,3,0,1,3,0,0,0,0,0,3,10,0,0,0,3,0,0,0,0,1,1
org::eclipse::osgi::internal::resolver::SystemState ,13,9,4,2,2,10,1,1,0,0,2,5,97,0,0,0,5,0,0,0,0,1,1
org::eclipse::osgi::internal::module::GenericCapability ,13,7,4,4,2,6,2,3,0,1,1,4,16,0,0,1,3,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::protocol::reference::Handler ,13,8,5,4,1,3,0,4,0,0,0,3,16,0,0,0,1,0,0,0,0,0,0
org::osgi::framework::BundleException ,13,5,4,20,1,6,20,0,1,2,0,4,18,1,0,0,4,0,0,0,0,2,1
org::osgi::service::condpermadmin::BundleSignerCondition ,13,9,5,4,1,1,0,4,0,1,0,2,7,1,1,0,1,0,0,0,0,1,1
org::eclipse::osgi::internal::resolver::BaseDescriptionImpl ,14,4,5,7,1,6,7,0,4,2,0,4,10,2,0,0,2,0,0,0,0,1,1
org::osgi::framework::InvalidSyntaxException ,14,5,4,1,1,6,1,0,0,3,0,4,18,2,0,0,4,0,0,0,0,2,1
ext::framework::a::importer::Activator ,15,14,3,6,1,3,0,6,0,0,0,3,9,0,1,0,2,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::core::StartLevelEvent ,15,4,4,1,1,6,1,0,0,6,0,4,15,4,0,0,4,0,0,0,0,0,0
org::osgi::framework::FrameworkEvent ,15,4,4,10,1,6,10,0,0,10,0,4,15,3,0,0,4,0,0,0,0,2,1
ext::extclasspath::a::importer::Activator ,15,14,3,6,1,3,0,6,0,0,0,3,9,0,1,0,2,0,0,0,0,0,0
xfriends::test3::Activator ,15,10,2,2,1,1,0,2,0,0,0,2,9,0,0,0,2,0,0,0,0,0,0
xfriends::test2::Activator ,15,10,2,2,1,1,0,2,0,0,0,2,9,0,0,0,2,0,0,0,0,0,0
org::eclipse::osgi::service::security::TrustEngine ,16,16,5,7,1,36,6,1,1,0,0,9,7,0,0,0,7,0,0,0,0,0,0
org::eclipse::osgi::internal::module::ResolverImport ,17,10,6,5,2,10,2,3,0,1,2,5,27,1,0,0,1,0,0,0,0,0,0
org::eclipse::osgi::internal::provisional::service::security::AuthorizationEvent ,18,5,5,5,1,10,5,0,0,6,0,5,7,4,0,0,5,0,0,0,0,0,0
org::eclipse::osgi::internal::module::ResolverExport ,19,11,6,5,2,15,4,1,0,1,1,6,16,1,0,0,2,0,0,0,0,0,0
org::eclipse::osgi::internal::signedcontent::BundleInstallListener ,19,9,5,6,3,1,1,5,0,0,0,2,15,0,0,0,2,0,0,0,0,0,0
org::eclipse::osgi::internal::provisional::service::security::AuthorizationEngine ,20,16,6,7,1,10,3,4,1,3,0,5,7,3,1,0,3,0,0,0,0,1,1
org::eclipse::osgi::internal::module::VersionSupplier ,21,12,7,10,1,36,8,2,3,2,0,9,7,1,0,0,5,0,0,0,0,0,0
org::eclipse::osgi::internal::baseadaptor::BundleUninstall ,21,10,4,4,1,6,1,4,0,2,0,4,10,2,0,0,4,0,0,0,0,0,0
thread::locktest::Activator ,21,18,4,5,1,3,0,5,0,0,0,3,17,0,0,0,3,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::protocol::bundleresource::Handler ,22,15,8,6,2,1,1,5,0,0,3,2,30,0,0,0,1,0,0,0,0,0,0
org::eclipse::osgi::baseadaptor::loader::FragmentClasspath ,23,11,6,7,1,10,2,5,0,3,0,5,7,3,0,0,5,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::core::FrameworkProperties ,24,17,8,22,1,6,18,4,0,2,0,4,7,2,0,0,4,0,0,0,0,0,0
org::eclipse::osgi::baseadaptor::loader::ClasspathEntry ,24,8,7,7,1,10,6,1,0,3,0,5,7,3,0,0,5,0,0,0,0,0,0
org::eclipse::osgi::internal::baseadaptor::DevClassPathHelper ,25,10,5,8,1,6,4,4,0,3,0,4,7,3,1,0,3,0,0,0,0,0,0
org::eclipse::osgi::internal::module::GenericConstraint ,25,16,12,5,2,15,2,4,0,1,2,6,27,1,0,0,2,0,0,0,0,0,0
org::eclipse::osgi::internal::resolver::BundleSpecificationImpl ,25,16,12,9,3,21,4,5,0,2,0,7,45,2,0,0,5,0,0,0,0,1,1
client2::multiple::exports::Activator ,26,18,2,2,1,1,0,2,0,0,0,2,9,0,0,0,2,0,0,0,0,0,0
client1::multiple::exports::Activator ,26,18,2,2,1,1,0,2,0,0,0,2,9,0,0,0,2,0,0,0,0,0,0
org::eclipse::osgi::baseadaptor::bundlefile::FileBundleEntry ,26,12,7,3,2,21,1,2,0,2,1,7,15,1,0,1,6,0,0,0,0,0,0
org::eclipse::osgi::internal::signedcontent::PKCS7DateParser ,27,15,6,1,1,1,1,1,0,0,0,2,7,0,1,0,0,0,0,0,0,0,0
org::eclipse::core::runtime::internal::adaptor::LocationHelper ,27,18,7,5,1,1,2,3,0,0,0,2,7,0,1,0,1,0,0,0,0,0,0
org::eclipse::osgi::service::resolver::DisabledInfo ,28,11,13,11,1,10,9,2,0,3,0,5,7,3,0,0,5,1,0,0,0,3,1
org::eclipse::core::runtime::internal::adaptor::Semaphore ,28,8,7,6,1,6,4,2,0,1,0,4,7,0,0,0,4,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::core::SingleSourcePackage ,28,14,10,5,2,21,4,3,1,1,1,7,22,0,0,1,7,0,0,0,0,1,1
org::osgi::service::url::AbstractURLStreamHandlerService ,28,19,9,2,1,45,0,2,0,1,0,10,25,0,0,0,9,0,0,0,0,1,1
org::eclipse::core::runtime::internal::adaptor::MessageHelper ,28,26,8,9,1,3,3,6,0,0,0,3,7,0,1,0,2,0,0,0,0,0,0
org::eclipse::osgi::tests::appadmin::SimpleApp ,30,10,5,2,1,1,0,2,0,2,0,2,7,2,0,0,2,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::core::PermissionsHash ,30,14,9,4,1,6,1,3,0,2,0,4,19,1,0,1,4,0,0,0,0,0,0
org::eclipse::osgi::framework::log::FrameworkLogEntry ,30,8,8,21,1,28,21,0,0,12,0,8,7,7,0,0,8,0,0,0,0,0,0
org::eclipse::osgi::internal::resolver::GenericDescriptionImpl ,30,18,10,7,2,28,4,3,0,3,1,8,19,3,0,0,5,0,0,0,0,1,1
org::eclipse::osgi::framework::internal::protocol::NullURLStreamHandlerService ,30,21,10,1,1,55,1,0,0,0,0,11,16,0,0,0,11,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::core::MultiSourcePackage ,31,9,10,2,2,10,1,2,0,1,1,5,22,0,0,1,4,0,0,0,0,1,1
org::eclipse::osgi::framework::internal::core::OSGi ,31,18,8,7,1,28,4,3,0,1,0,8,7,0,0,0,6,0,0,0,0,1,1
org::eclipse::osgi::framework::internal::core::NullPackageSource ,31,12,10,2,2,28,1,1,0,1,1,8,22,0,1,1,7,0,0,0,0,1,1
org::eclipse::osgi::baseadaptor::bundlefile::DirZipBundleEntry ,32,14,9,3,2,21,1,3,0,2,1,7,15,1,0,1,7,0,0,0,0,0,0
org::eclipse::core::runtime::internal::adaptor::DefaultStartupMonitor ,32,16,6,9,1,3,1,8,0,2,0,3,9,2,0,0,3,0,0,0,0,0,0
org::eclipse::osgi::framework::debug::Debug ,33,18,11,21,1,3,15,6,0,32,0,3,7,0,0,16,3,0,0,0,0,0,0
org::eclipse::osgi::internal::resolver::UserState ,33,22,11,5,2,6,1,4,0,1,2,4,97,1,0,0,4,0,0,0,0,1,1
org::eclipse::osgi::internal::resolver::HostSpecificationImpl ,33,18,18,10,3,36,5,5,0,2,0,9,45,2,0,0,7,0,0,0,0,1,1
org::eclipse::osgi::internal::resolver::VersionConstraintImpl ,36,15,13,14,2,45,11,4,5,4,0,10,20,4,0,0,6,0,0,0,0,1,1
org::eclipse::osgi::storagemanager::ManagedOutputStream ,37,14,11,3,1,55,3,1,0,7,1,11,27,5,0,0,3,1,0,0,0,2,1
org::eclipse::osgi::baseadaptor::bundlefile::NestedDirBundleFile ,37,23,13,4,2,21,1,3,0,2,3,7,20,0,0,2,7,0,1,1,0,3,1
org::eclipse::osgi::framework::internal::core::GlobalPolicy ,38,17,9,5,1,6,1,4,0,1,0,4,10,1,0,0,4,0,0,0,0,1,1
org::eclipse::osgi::framework::internal::core::PackageSource ,39,18,15,6,1,66,5,2,3,1,0,12,10,0,0,0,12,0,0,0,0,1,1
org::eclipse::osgi::framework::eventmgr::EventManager ,39,10,9,7,1,6,5,3,0,4,0,4,7,1,0,0,2,0,0,0,0,2,1
org::eclipse::core::runtime::internal::adaptor::Locker_JavaIo ,44,14,9,3,1,6,1,2,0,2,0,4,10,2,0,0,4,0,0,0,0,0,0
org::eclipse::osgi::internal::module::MappedList ,44,26,13,3,1,21,2,1,1,1,0,7,7,0,1,0,5,0,0,0,0,1,1
org::eclipse::osgi::internal::resolver::BundleDeltaImpl ,45,26,19,5,2,28,1,4,0,2,9,8,10,2,1,0,5,0,0,0,0,1,1
org::eclipse::osgi::baseadaptor::bundlefile::ZipBundleEntry ,45,24,10,7,2,21,1,7,0,2,1,7,15,0,0,0,6,0,0,0,0,1,1
org::eclipse::osgi::internal::signedcontent::SignerInfoImpl ,45,16,16,7,1,28,4,3,0,3,0,8,11,3,0,0,7,0,0,0,0,0,0
org::eclipse::core::runtime::internal::adaptor::ClasspathManifest ,47,23,15,10,1,15,1,9,0,4,0,6,10,2,1,0,5,0,0,0,0,0,0
org::eclipse::osgi::internal::resolver::ComputeNodeOrder ,47,18,8,2,1,1,1,1,0,0,0,2,7,0,1,0,1,0,0,0,0,0,0
org::eclipse::osgi::framework::eventmgr::ListenerQueue ,47,17,10,9,1,6,4,5,0,3,0,4,7,2,0,0,4,0,0,0,0,1,1
org::eclipse::osgi::internal::module::PermissionChecker ,48,28,18,10,1,1,2,9,0,3,0,2,7,3,0,0,2,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::protocol::reference::ReferenceURLConnection ,48,27,15,7,1,21,1,6,0,1,2,7,13,0,2,0,4,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::core::SystemPolicy ,48,18,11,4,1,15,1,3,0,5,0,6,10,2,0,0,5,0,0,0,0,1,1
org::eclipse::osgi::internal::baseadaptor::BasePermissionStorage ,49,21,13,2,1,28,1,2,0,5,0,8,12,5,0,0,7,0,0,0,0,0,0
org::eclipse::osgi::baseadaptor::bundlefile::BundleEntry ,49,18,11,12,1,28,10,2,4,1,0,8,7,0,0,0,8,0,0,0,0,0,0
org::eclipse::osgi::internal::resolver::ResolverErrorImpl ,52,25,15,1,1,15,1,0,0,4,19,6,11,4,0,0,6,0,0,0,0,1,1
org::eclipse::osgi::framework::internal::reliablefile::ReliableFileOutputStream ,54,22,10,6,1,10,1,5,0,3,1,5,27,3,1,0,4,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::reliablefile::ReliableFileInputStream ,54,16,14,2,1,28,0,2,0,4,0,8,26,4,1,0,7,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::core::FilteredServiceListener ,54,27,19,11,2,3,0,11,0,5,0,3,15,5,0,0,2,0,0,0,0,1,1
org::eclipse::osgi::framework::internal::core::SystemBundleActivator ,55,30,14,7,1,6,0,7,0,8,0,4,9,0,0,0,3,0,0,0,0,1,1
org::eclipse::osgi::baseadaptor::bundlefile::BundleFile ,55,39,17,28,1,91,21,8,5,4,0,14,7,1,1,0,11,0,0,0,0,2,1
org::eclipse::core::runtime::internal::stats::ResourceBundleStats ,56,26,13,4,1,55,0,4,0,7,0,11,7,7,2,0,9,0,0,0,0,0,0
org::eclipse::osgi::internal::signedcontent::SignedContentFile ,56,27,15,4,1,36,1,4,0,2,0,9,14,2,0,0,8,0,0,0,0,0,0
org::eclipse::osgi::internal::signedcontent::DigestedInputStream ,57,21,17,7,1,21,1,6,0,5,0,7,26,5,1,0,5,0,0,0,0,0,0
org::osgi::service::condpermadmin::BundleLocationCondition ,59,20,10,6,1,3,0,6,0,1,0,3,7,1,2,0,1,0,0,0,0,1,1
org::eclipse::osgi::internal::baseadaptor::DevClassLoadingHook ,61,27,21,6,1,55,0,6,0,2,0,11,17,0,0,0,11,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::core::ExportedPackageImpl ,61,36,21,11,1,36,1,10,0,3,0,9,13,3,0,0,8,0,0,0,0,1,1
org::eclipse::osgi::baseadaptor::bundlefile::DirBundleFile ,62,29,14,6,2,21,1,5,0,0,3,7,20,0,0,0,7,0,0,0,0,0,0
org::eclipse::osgi::internal::module::VersionHashMap ,63,41,28,9,2,21,2,8,0,1,1,7,13,1,1,0,4,0,0,0,0,2,1
org::eclipse::osgi::framework::internal::core::BundleCombinedPermissions ,63,22,22,7,2,36,2,5,0,7,0,9,20,7,0,0,4,0,0,0,0,0,0
org::eclipse::core::runtime::internal::stats::ClassStats ,64,24,20,3,1,190,2,2,0,11,0,20,7,11,0,0,20,0,0,0,0,0,0
org::eclipse::osgi::internal::resolver::GenericSpecificationImpl ,65,35,31,12,3,91,4,8,0,4,2,14,47,4,0,0,9,0,0,0,0,2,1
org::eclipse::osgi::framework::internal::core::FilteredSourcePackage ,66,36,30,4,3,45,1,3,0,4,2,10,29,1,5,3,5,0,0,0,0,1,1
org::eclipse::core::runtime::internal::adaptor::EclipseErrorHandler ,68,22,17,7,1,55,0,7,0,2,0,11,17,2,1,0,10,0,0,0,0,1,1
org::eclipse::osgi::framework::internal::core::SecurePermissionStorage ,69,23,12,3,1,21,1,2,0,10,0,7,12,10,0,0,7,0,0,0,0,0,0
org::eclipse::osgi::framework::eventmgr::EventThread ,70,16,16,5,1,15,2,4,0,4,0,6,27,4,2,0,1,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::core::BundleURLConnection ,71,23,18,5,1,45,2,3,0,3,2,10,13,0,0,0,10,0,0,0,0,0,0
org::eclipse::core::runtime::internal::adaptor::Locker_JavaNio ,73,20,10,6,1,6,1,5,0,3,0,4,10,3,0,0,4,0,0,0,0,0,0
org::eclipse::core::runtime::internal::stats::BundleStats ,73,28,26,3,1,231,1,2,0,11,0,22,7,8,0,3,14,0,0,0,0,0,0
org::osgi::framework::PackagePermission ,76,29,22,7,1,45,1,7,0,9,0,10,33,6,3,0,5,0,0,0,0,1,1
org::osgi::framework::ServicePermission ,77,29,22,7,1,45,1,7,0,9,0,10,33,6,3,0,5,0,0,0,0,1,1
org::eclipse::osgi::internal::service::security::DefaultAuthorizationEngine ,77,36,26,17,2,21,3,15,0,18,0,7,11,14,1,0,5,0,0,0,0,0,0
org::eclipse::osgi::internal::baseadaptor::BaseClassLoadingHook ,78,37,30,8,1,45,2,6,0,2,0,10,13,2,2,0,8,0,0,0,0,1,1
org::eclipse::osgi::framework::internal::protocol::ContentHandlerProxy ,79,31,22,10,1,21,1,9,0,6,0,7,11,0,2,0,5,0,0,0,0,0,0
org::eclipse::core::runtime::internal::adaptor::EclipseLogHook ,81,53,18,16,1,66,0,16,0,2,0,12,17,1,2,1,10,0,0,0,0,1,1
org::eclipse::osgi::service::resolver::VersionRange ,81,39,34,15,1,28,11,4,0,6,0,8,7,5,0,0,8,0,0,0,0,1,1
org::eclipse::osgi::framework::internal::core::DependentPolicy ,83,35,24,5,1,15,1,4,1,3,0,6,10,0,2,3,4,0,0,0,0,1,1
org::eclipse::osgi::internal::signedcontent::SignedContentImpl ,86,43,33,13,1,91,7,6,0,6,0,14,14,4,1,1,8,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::core::RegisteredPolicy ,86,36,24,6,2,6,1,5,0,0,3,4,14,0,0,0,4,0,0,0,0,1,1
org::eclipse::osgi::framework::eventmgr::EventListeners ,88,18,22,10,1,15,6,4,0,5,0,6,7,5,1,0,4,0,0,0,0,2,1
org::eclipse::osgi::internal::baseadaptor::BundleInstall ,89,59,18,17,1,6,1,17,0,3,0,4,10,3,0,0,4,0,0,0,0,0,0
org::osgi::framework::BundlePermission ,90,33,26,7,1,45,1,7,0,13,0,10,33,9,3,0,5,0,0,0,0,1,1
org::eclipse::osgi::internal::resolver::ExportPackageDescriptionImpl ,90,43,35,10,2,91,7,3,0,12,0,14,22,11,0,0,10,0,0,0,0,1,1
org::eclipse::osgi::internal::profile::Profile ,92,46,26,9,1,28,4,5,0,21,0,8,7,12,1,3,7,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::protocol::MultiplexingFactory ,94,72,22,14,1,45,3,11,2,6,0,10,7,3,1,0,8,0,0,0,0,0,0
org::eclipse::equinox::launcher::JNIBridge ,94,41,19,4,1,105,2,2,0,2,0,15,7,2,8,0,7,0,0,0,0,0,0
org::eclipse::osgi::internal::resolver::StateDeltaImpl ,95,57,28,5,1,36,2,3,0,2,0,9,9,2,0,0,3,0,0,0,0,1,1
org::eclipse::osgi::framework::internal::core::Tokenizer ,95,17,27,5,1,15,3,2,0,3,0,6,7,0,1,0,5,0,0,0,0,0,0
org::eclipse::osgi::internal::baseadaptor::BundleUpdate ,97,72,15,17,1,6,1,17,0,4,0,4,10,4,0,0,4,0,0,0,0,0,0
org::eclipse::osgi::internal::module::ResolverConstraint ,97,37,36,11,1,190,5,8,3,4,0,20,7,2,0,0,4,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::core::AliasMapper ,98,36,22,9,1,6,2,7,0,2,0,4,7,2,0,0,3,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::core::Util ,99,31,29,5,1,10,2,3,0,0,0,5,7,0,0,0,5,0,0,0,0,0,0
org::eclipse::core::runtime::internal::adaptor::EclipseAppLauncher ,100,45,30,13,1,21,1,12,0,8,0,7,9,8,2,0,5,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::core::SystemBundle ,103,44,22,18,3,153,2,17,0,1,18,18,111,0,0,1,7,0,0,0,0,2,1
org::eclipse::osgi::framework::util::Headers ,103,49,31,11,1,210,6,5,1,4,0,21,0,4,2,0,19,0,0,0,0,1,1
org::eclipse::osgi::framework::internal::protocol::ContentHandlerFactory ,107,46,23,18,2,15,2,17,0,7,3,6,24,7,0,0,6,0,0,0,0,0,0
org::eclipse::core::runtime::internal::adaptor::CachedManifest ,107,78,39,10,1,36,1,10,0,2,0,9,0,2,0,0,9,0,0,0,0,0,0
org::eclipse::core::runtime::internal::adaptor::ContextFinder ,108,55,36,6,1,45,1,5,0,4,0,10,24,2,4,2,3,0,0,0,0,0,0
org::eclipse::osgi::framework::debug::FrameworkDebugOptions ,108,63,29,14,1,45,7,7,0,4,0,10,11,4,5,0,5,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::core::ServiceRegistryImpl ,110,37,17,2,1,15,1,1,0,3,0,6,11,0,0,0,6,0,0,0,0,1,1
org::eclipse::osgi::framework::internal::protocol::URLStreamHandlerProxy ,110,49,31,11,1,120,1,10,0,7,0,16,19,0,2,0,5,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::core::BundleRepository ,111,39,26,7,1,15,3,5,0,3,0,6,7,3,0,0,6,0,0,0,0,1,1
org::eclipse::osgi::framework::internal::core::SystemBundleLoader ,112,58,39,13,2,66,2,12,0,5,11,12,41,4,1,0,5,0,0,0,0,1,1
org::eclipse::osgi::util::TextProcessor ,114,36,34,5,1,15,2,3,0,10,0,6,7,10,3,0,3,0,0,0,0,1,1
org::eclipse::osgi::internal::resolver::ReadOnlyState ,114,74,38,2,1,703,0,2,0,1,0,38,44,1,0,0,38,0,0,0,0,1,1
org::eclipse::osgi::internal::baseadaptor::StateManager ,114,66,36,12,1,190,4,8,1,18,0,20,22,11,4,7,16,0,0,0,0,1,1
org::eclipse::osgi::framework::internal::core::ConditionalPermissionAdminImpl ,116,61,29,14,1,28,2,14,0,8,0,8,12,4,1,0,6,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::core::ServiceReferenceImpl ,116,43,36,13,2,91,5,9,0,1,0,14,13,0,1,1,9,0,0,0,0,1,1
